id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],y/n/m,notes,"AGCnr, Name",ALFALFA notes,cube notes
40235.018,28,205.194,508.169,947.71,205.205,508.283,948.933,200,212,502,512,928,969,1369,41,61,6.4663,3.1889,-54.6489,5.3431,2.8186,-57.8993,529.533,1.0207,3.5861,110.0323,0.2077,68.9164,29.5922,20.295,37.3456,4.8378947,6.563064,-54890.694,n,edge,,,
40235.024,39,363.237,400.996,947.496,363.262,400.963,948.247,357,371,394,410,931,964,3176,33,149,7.9174,6.227,-24.7314,7.0917,5.4442,-38.4303,1430.0963,1.455,104.4542,27.6453,0.2108,120.4052,21.1694,14.7283,13.3609,2.2036126,4.7743912,-55395.491,m,,,,
40235.055,83,12.619,91.613,985.476,12.662,91.557,985.048,6,19,88,97,975,996,666,21,70,6.094,3.8684,84.5939,5.7359,3.5152,-87.4324,193.4883,1.1565,12.0454,77.919,0.2635,28.4526,16.7998,14.8857,15.8586,8.0469571,-0.38238017,-28305.383,n,,,,
41035.007,8,474.359,58.498,511.773,474.27,58.4,511.561,470,482,52,67,494,533,2854,39,124,7.6733,5.0402,34.0016,7.4409,4.5714,32.4512,621.1703,0.8097,20.0788,19.0379,0.1932,60.1839,25.5514,18.8485,23.5025,0.35347093,7.065016,-376849.93,n,,,,
41835.002,4,46.034,54.407,168.507,46.033,54.638,168.531,44,49,50,60,151,203,268,52,36,4.6826,1.7247,-0.9775,4.1172,1.8017,-1.495,99.6346,1.2628,2.8904,8.7786,0.2837,21.6554,34.1624,28.6677,35.8535,7.4911283,15.002298,-629362.42,n,,,,
41835.011,23,381.585,132.354,557.056,381.777,132.332,556.347,377,386,128,138,527,597,2291,70,64,4.6423,3.873,52.9643,3.9442,3.3803,55.4488,470.6554,1.134,8.2811,159.5963,0.1906,51.5797,56.3246,50.6271,55.9716,1.8953789,16.297202,-343881.72,m,,,,
41835.013,26,5.412,101.401,515.215,5.564,101.391,516.136,3,8,97,108,484,554,1109,70,38,4.4356,2.2547,3.0891,4.3553,2.0253,5.1707,224.0744,1.2268,3.216,166.2489,0.2147,31.3426,62.7831,54.2564,63.1353,8.1656034,15.781504,-373482.15,n,,,,
41835.032,50,96.342,63.351,971.018,96.284,63.169,972.294,90,101,58,73,948,992,2313,44,96,6.9159,4.3016,-28.2676,6.281,4.1829,-31.6051,521.0314,0.9895,29.0094,324.1619,0.2164,50.0584,32.7774,21.0678,20.8443,6.6536108,15.144481,-37693.899,n,,,,
41835.05,85,90.87,4.11,983.463,90.982,4.117,983.391,88,96,1,11,959,1003,1370,44,54,5.5262,3.74,5.5006,4.9923,3.1977,-2.0663,331.1543,0.9023,12.3444,220.2082,0.248,36.0756,30.4251,23.3178,28.0338,6.7419786,14.16027,-29525.377,n,,,,
41835.051,86,123.336,5.877,989.151,123.377,5.795,990.232,118,129,0,12,970,1006,1954,36,91,6.6689,4.2695,-42.5592,6.2813,3.6615,-40.9349,568.5271,1.0918,16.4341,145.0707,0.2336,55.0569,26.4056,16.7697,26.1969,6.2020521,14.188243,-24489.131,n,,,,
41835.072,120,411.805,315.853,968.421,411.817,315.848,969.213,408,418,312,320,955,981,573,26,53,5.1379,2.8768,71.8274,4.1211,2.853,82.6405,163.9636,0.7589,8.3005,245.3038,0.192,35.676,23.2463,19.4054,20.5298,1.3947056,19.355798,-39961.647,n,,,,
41835.168,289,35.651,383.166,1107.369,35.449,383.211,1108.829,33,39,379,387,1089,1136,464,47,27,4.6139,1.844,21.414,4.1844,1.678,24.948,127.7608,1.187,3.089,25.8604,0.2112,28.0844,32.369,14.6526,36.7956,7.6675197,20.478514,62812.973,n,,,,
41835.177,302,273.819,61.821,1470.699,273.951,61.766,1470.946,272,279,55,68,1438,1500,1079,62,44,6.4321,2.7895,15.724,6.4406,2.1978,15.9367,178.5592,0.7909,3.1421,50.3622,0.1791,30.347,54.3084,50.7008,53.9398,3.6924789,15.121093,329375.09,n,,,,
41835.21,351,337.954,220.763,1055.112,337.973,220.921,1055.823,334,344,215,229,1039,1071,2018,32,104,6.8643,4.4777,-3.8386,6.0044,4.2934,2.2815,405.9609,0.7525,20.7632,2.8872,0.1758,51.4193,27.1556,15.3511,18.1636,2.6254543,17.773679,23793.881,n,,,,
41835.228,376,12.376,119.939,1234.053,12.367,119.844,1231.648,10,15,115,127,1149,1330,1863,181,35,4.879,2.1557,-8.6316,3.6769,1.8516,-11.5674,348.011,0.9339,2.7557,158.6296,0.2192,36.7829,127.6207,36.0297,135.1981,8.0522247,16.089059,153222.65,n,,,,
41835.229,377,23.263,494.119,1184.608,23.191,494.16,1184.888,21,31,492,497,1161,1216,480,55,30,6.9923,1.9467,87.9884,2.8836,1.5361,86.9982,318.7966,1.9738,10.4248,269.7258,0.2356,61.7677,49.4327,37.8135,38.4567,7.8718294,22.327668,118801.07,n,,,,
42635.001,1,8.467,163.075,542.993,8.489,163.063,543.253,2,17,160,169,515,570,3013,55,99,7.8097,3.9008,80.7503,6.5731,3.3529,83.8661,633.8262,1.0988,15.7046,52.6829,0.1938,59.5756,42.4241,29.1001,41.1809,8.1168522,24.809381,-353520.97,n,,,,
42635.004,4,107.311,192.455,540.555,107.31,192.478,541.219,104,112,188,197,515,565,1442,50,51,4.4389,3.3951,40.8545,3.9709,3.1701,37.976,315.4015,1.0038,9.763,163.9808,0.2051,40.5017,40.2298,26.5732,38.8264,6.4698397,25.299633,-355018.05,n,,,,
42635.018,20,340.163,359.647,923.82,340.068,359.629,924.193,336,345,354,365,906,940,816,34,52,5.8033,2.6065,-33.7626,4.8125,2.2929,-30.5637,210.8379,1.0338,9.7919,177.0039,0.2344,31.4882,28.3707,21.191,26.4534,2.5905292,28.085488,-73102.399,n,,,,
43435.005,5,265.244,217.794,873.607,265.539,217.819,873.78,258,274,211,225,856,893,3425,37,155,7.5955,5.9406,55.192,7.3228,5.3095,57.4589,871.2309,0.9141,77.4896,192.3305,0.2026,73.4734,29.0865,17.6609,10.6748,3.8323297,33.722055,-110212.32,m,,,,
43435.018,25,214.757,27.893,911.167,214.704,27.912,911.672,213,218,24,34,894,926,580,32,34,4.123,2.2503,-3.536,3.9433,2.0436,1.1524,128.2544,0.7518,0,337.1457,0.1814,29.3614,25.5882,15.4935,0,4.6795766,30.55693,-82319.055,n,,,,
43435.021,29,335.499,171.59,922,335.455,171.636,921.969,333,340,168,177,904,940,1116,36,49,4.4509,3.4789,9.9666,3.9214,3.0002,2.914,231.8267,0.6749,7.8249,1.5093,0.1607,43.1918,29.1582,15.6663,28.7703,2.6670579,32.952337,-74739.122,n,,,,
43435.027,38,198.414,385.452,931.354,198.433,385.424,931.35,194,206,380,399,909,953,2010,44,92,6.5103,5.3424,-0.3784,6.0854,4.6893,-1.1288,436.6986,0.8549,6.2621,101.5022,0.2059,47.2975,36.1318,27.8169,38.7645,4.9507634,36.51548,-67834.057,n,,,,
43435.044,68,118.97,436.73,953.257,118.847,436.642,954.496,111,126,431,443,930,976,3970,46,135,7.8438,5.6407,71.0001,7.222,4.8931,71.1392,1271.577,1.1977,0,265.8578,0.2064,97.7982,31.2763,22.0935,0,6.2772067,37.369107,-50795.509,n,edge,,,
43435.156,268,396.798,17.038,1057.368,396.812,17.178,1056.673,390,406,13,23,1042,1074,2454,32,129,7.7999,5.0854,80.1872,7.1031,4.6421,82.6228,643.8652,1.0188,0,235.4544,0.1798,72.2957,22.4229,15.573,0,1.6444424,30.378032,24419.433,n,,,,
43435.207,352,268.546,293.296,1235.14,268.482,293.341,1234.747,265,272,288,298,1215,1264,449,49,35,5.813,2.2321,-24.9283,4.4835,1.7083,-27.2981,266.8579,1.7578,8.0821,151.8204,0.2548,49.433,38.9689,25.7302,37.6905,3.7832783,34.980755,155503.78,n,,,,
120235.002,2,475.18,366.293,255.532,475.155,366.365,255.973,473,479,363,371,226,280,934,54,37,4.1973,2.3409,-11.4951,3.0148,1.8426,-12.7389,639.893,2.992,0,353.0506,0.1976,105.9594,36.1223,17.6762,0,8.3387452,4.1977662,-564994.34,y,,,,
120235.005,9,340.319,428.003,519.098,340.377,427.868,519.392,337,346,421,434,495,545,2675,50,89,6.5386,4.5268,-5.6572,5.8449,3.8101,-6.3085,765.8601,0.9743,40.7204,346.3621,0.2015,73.489,38.3237,26.9067,26.0028,10.585043,5.2228078,-371085.21,n,,,,
120235.009,13,327.852,419.682,546.812,327.942,419.874,545.717,324,333,415,425,523,572,1894,49,61,4.7623,3.9956,-3.5478,3.9606,3.2596,-2.4638,643.5724,1.1921,24.8807,134.292,0.1994,74.1543,41.2183,29.89,31.7089,10.792289,5.0895762,-351706.99,y,,,,
120235.016,22,3.534,470.999,938.704,3.418,471.012,940.278,0,9,465,479,914,965,2674,51,86,6.587,4.1697,-3.5236,5.271,3.7744,-5.3391,1075.2144,1.1914,18.5909,225.0747,0.2105,98.7748,38.8162,27.4357,38.7435,16.201042,5.941882,-61261.39,n,,,,
120235.031,45,293.543,501.239,938.706,293.802,501.48,940.275,287,301,497,507,922,954,1834,32,102,6.8437,4.6103,86.4583,5.8077,3.9142,85.6126,896.4122,1.347,21.7672,257.2458,0.2514,83.2668,23.8017,15.1754,24.2727,11.361291,6.4496756,-61263.579,m,,,,
120235.049,82,195.216,470.099,952.291,195.001,470.04,952.892,192,200,466,475,936,971,1092,35,50,4.0778,3.8601,-0.039,3.7504,3.3089,-7.7626,489.1749,1.1005,25.94,193.4059,0.2335,63.3905,25.6362,17.0864,21.4527,13.007989,5.9256806,-51976.338,m,,,,
120235.079,131,349.62,273.661,966.742,349.647,273.542,966.855,346,354,269,279,950,985,1167,35,53,5.1138,3.1939,-19.819,4.4646,2.8319,-21.5768,572.408,1.2783,21.8075,331.1002,0.2652,63.1839,26.6607,20.7991,25.0831,10.430537,2.6507007,-41697.706,n,,,,
120235.089,153,225.789,423.058,986.383,225.832,422.974,986.771,221,232,418,429,971,1002,1680,31,84,6.4371,4.0145,52.7835,5.5828,3.4283,53.6811,808.176,1.1096,49.0177,54.8238,0.2601,75.807,25.6916,22.258,19.8702,12.494131,5.1412456,-27037.117,n,,,,
121035.001,2,250.369,226.639,152.205,250.209,226.613,151.764,247,255,221,233,140,166,1201,26,69,6.2166,2.6761,-11.3836,4.9935,2.1749,-9.9199,1156.3811,7.5438,52.6448,347.5223,0.281,118.7466,24.7787,22.5704,24.435,12.088179,9.8685477,-641704.85,n,high velocity junk?,,,
121035.004,6,250.21,227.32,220.331,250.179,227.294,220.303,246,255,221,233,208,233,1138,25,82,7.3224,2.9931,-15.8569,5.0198,2.4214,-13.7823,1057.0876,8.0507,45.6745,164.7201,0.2852,109.89,21.9421,20.7696,21.9021,12.088687,9.879905,-591251.97,n,high velocity junk?,,,
121035.007,13,368.544,391.118,518.976,368.652,391.064,518.661,362,376,386,397,499,540,3057,41,119,7.6775,4.7597,69.1923,7.0706,4.0207,71.0447,933.9823,1.1611,68.5873,81.7794,0.1839,91.861,30.7589,21.9828,14.2014,10.114133,12.6094,-371623.78,n,,,,
121035.013,23,250.641,226.31,785.074,250.535,226.679,785.054,246,256,219,233,767,807,927,40,81,7.8963,4.1964,2.6498,5.5077,2.6477,7.1154,806.4461,9.5172,27.6513,181.4136,0.2695,98.2842,29.6414,21.5973,31.7727,12.082747,9.8696546,-175525.46,n,,,,
121035.022,37,233.087,131.083,927.694,233.233,131.206,928.588,224,240,126,138,904,946,2753,42,123,7.7304,5.228,-63.6958,6.3003,4.5753,-67.4441,1023.1866,1.1384,15.6475,301.181,0.2133,91.4093,32.0987,20.7054,32.946,12.371118,8.2784224,-69867.09,m,,,,
121035.036,59,247.889,90.655,940.158,247.902,90.452,940.36,242,255,84,99,918,963,4607,45,157,7.6104,6.6208,16.3398,6.8167,5.6169,19.3206,1795.8132,1.166,37.2487,353.3863,0.2161,122.4141,36.8349,24.7535,34.3977,12.126637,7.5991867,-61201.198,n,,,,
121035.045,73,293.381,21.417,939.371,293.683,21.636,940.803,287,301,17,27,922,955,2243,33,118,7.2516,5.1234,89.4972,6.2352,4.2686,84.4524,1127.5025,1.3947,65.8335,266.4955,0.2425,98.1596,22.7094,15.3667,17.1985,11.363617,6.4522522,-60875.33,m,,,,
121035.061,97,52.67,260.28,953.366,52.828,260.221,953.873,47,59,255,267,936,973,2340,37,101,6.3053,5.1495,-47.3256,5.3952,4.6403,-41.5073,965.4777,1.2831,0,27.9244,0.22,90.7102,28.7295,16.6661,0,15.377878,10.428685,-51253.673,n,,,,
121035.066,104,429.547,107.918,980.4,429.974,107.935,980.958,423,436,102,116,961,1000,2555,39,118,7.6606,5.1163,-45.5044,6.1006,4.4329,-46.8294,1264.6799,1.5604,66.122,293.9916,0.2565,97.5402,33.2295,26.9744,25.5256,9.0920994,7.8905829,-31315.89,m,,,,
121035.081,128,213.601,381.645,962.209,213.475,381.617,962.41,209,220,375,389,944,980,2036,36,93,7.6488,3.909,-36.9881,6.4701,3.4445,-36.0912,1227.4816,1.4659,111.0828,158.2202,0.2603,104.5244,24.0994,17.2971,10.6461,12.700412,12.451952,-44969.876,m,,,,
121035.168,270,82.98,123.909,1252.716,82.941,123.901,1252.751,80,86,121,130,1231,1274,493,43,29,5.1905,1.895,17.9036,4.1649,1.7618,18.2996,169.6187,1.0707,2.2026,14.5243,0.2348,32.5362,39.7689,33.3893,40.3888,14.875982,8.1566736,168757.13,n,,,,
121835.001,1,187.383,393.121,531.35,187.269,392.997,531.774,184,194,389,399,514,552,1120,38,55,5.6121,2.8831,-49.0042,4.5186,2.8517,-47.6069,245.5163,0.9964,9.5825,301.5685,0.199,36.8736,29.8848,16.6068,29.5759,13.137191,20.641629,-361970.65,m,,,,
121835.008,17,487.568,89.122,371.17,487.593,89.159,372.043,485,490,84,94,329,418,1192,89,36,5.0443,2.1704,-9.7339,4.085,1.8804,-14.6321,239.0929,1.0642,0,339.3515,0.222,31.1914,75.4151,65.7864,0,8.1317715,15.577643,-479552.47,n,,,,
121835.013,30,482.476,121.683,487.588,482.607,121.58,487.591,480,486,117,126,460,536,995,76,32,4.7357,2.1145,28.1212,3.9572,1.8854,32.167,164.9335,0.8154,2.5733,196.4475,0.1854,28.2552,63.4491,23.5788,67.801,8.2148722,16.117998,-394494.5,n,,,,
121835.03,59,276.165,189.949,923.005,276.241,189.986,923.887,273,281,187,195,903,943,1009,40,42,4.4271,2.8479,43.9627,3.6994,2.5619,42.2148,226.9895,0.6877,0,69.437,0.1486,48.0808,32.0702,18.7638,0,11.654323,17.258094,-73327.294,m,,,,
121835.04,81,381.916,505.065,950.818,381.977,505.097,952.128,377,387,502,509,931,970,1315,39,54,4.9481,3.4873,80.3631,4.2434,3.1009,80.829,388.2231,0.7782,5.1304,107.741,0.1699,63.0035,29.7017,17.0014,32.473,9.8920379,22.509951,-52538.251,m,,,,
121835.099,175,348.933,508.654,967.462,349.191,508.874,966.969,344,356,506,512,950,988,1095,38,52,6.3306,2.628,-85.3961,5.817,2.4912,-84.5844,267.6941,0.8453,2.2489,104.4456,0.1796,45.0496,27.982,15.8382,34.2674,10.438482,22.57291,-41613.439,n,edge,,,
121835.18,349,343.127,62.714,1060.525,343.176,62.907,1060.11,340,349,56,70,1046,1077,1460,31,84,7.6815,3.3088,14.5515,7.0632,3.0294,9.645,349.8639,0.8427,0,169.6852,0.1921,47.6692,24.0173,18.3542,0,10.538723,15.140103,26949.754,n,,,,
121835.221,408,477.504,79.796,1066.151,477.526,79.742,1065.445,475,481,77,84,1046,1093,795,47,32,4.055,2.383,-32.1751,3.7108,2.2449,-27.0851,160.8998,0.8197,6.3171,339.9253,0.2042,27.9483,38.9234,26.2906,34.3309,8.2995647,15.420698,30876.912,n,,,,
121835.223,412,334.505,118.744,1066.242,334.433,118.727,1066.671,330,340,115,123,1053,1080,918,27,54,5.0197,3.2372,-79.1388,4.4211,3.0186,-76.3055,224.9196,0.7527,15.5762,92.9242,0.1803,41.1756,20.9296,15.4372,16.013,10.684453,16.070447,31779.131,n,,,,
121835.231,426,457.223,504.378,1072.696,457.212,504.259,1073.173,453,462,499,511,1056,1089,1539,33,84,6.2165,4.4367,-2.0637,5.5516,3.8334,-5.4366,332.1698,0.8856,18.4463,12.953,0.1591,53.2317,25.5389,18.5091,19.1476,8.6381197,22.495991,36565.25,n,,,,
122635.003,7,63.163,454.041,475.392,63.217,453.961,474.65,60,67,449,459,454,497,920,43,45,5.1196,2.6232,14.1639,4.9016,2.5947,12.624,193.2593,0.8077,6.6271,61.1237,0.2438,26.1393,36.7587,23.3961,34.2974,15.204731,29.657695,-404021.05,n,,,,
122635.006,11,202.302,433.769,484.056,202.414,433.806,484.263,196,211,429,439,467,502,2018,35,93,7.0096,3.9904,-73.8371,6.3368,3.8279,-73.2311,407.2701,0.858,18.6403,283.7725,0.1573,57.6445,27.5457,17.695,23.5199,12.884768,29.321771,-396944.65,n,,,,
122635.01,15,233.468,484.49,502.346,233.454,484.339,502.264,227,241,479,492,479,527,5030,48,159,7.2556,6.7588,-86.0861,6.6268,6.1813,-82.6046,1058.8323,0.8218,43.8273,280.9852,0.1706,87.5283,35.2484,24.0893,24.6072,12.367435,30.163989,-383693.77,n,,,,
122635.016,21,119.146,141.211,552.01,119.208,141.185,552.39,115,123,137,146,532,570,1136,38,52,5.2168,3.0717,-37.4328,4.8103,2.6323,-34.9424,278.5679,1.0474,9.2964,312.6747,0.2128,38.8414,28.8731,23.2983,25.9627,14.271535,24.444739,-346795.13,n,,,,
122635.021,26,425.747,191.334,548.459,425.875,191.252,548.238,422,433,188,196,533,567,1081,34,52,5.2834,3.2956,63.3158,4.8281,3.0728,57.1739,224.269,0.7099,5.2536,76.6918,0.1861,36.6468,25.9217,16.7068,26.6297,9.1604041,25.279204,-349851.06,n,,,,
122635.023,28,368.669,250.125,561.14,368.554,250.235,561.612,365,373,246,255,543,581,1432,38,55,5.1713,3.2118,44.0783,4.7412,2.9294,43.7398,303.3015,0.8622,10.1266,212.6022,0.1597,50.1976,30.195,21.7352,29.1286,10.115767,26.262245,-340006.51,n,,,,
122635.024,29,145.356,110.793,581.213,145.437,110.8,581.432,141,152,106,117,560,606,2545,46,87,6.6143,4.0039,-40.3975,5.8037,3.5592,-38.611,507.7539,0.7505,12.2382,152.929,0.1645,61.1818,38.3543,28.1076,34.5203,13.834382,23.93833,-325416.6,m,,,,
122635.027,32,82.624,310.547,723.924,82.593,310.452,724.35,78,88,307,315,695,755,2060,60,57,4.2578,2.7172,81.5974,3.6208,2.1078,-88.2228,1326.4875,2.0878,20.7192,257.0573,0.2315,126.2474,53.3701,39.4493,50.1643,14.881793,27.265875,-220211.4,n,,,,
122635.055,71,381.925,25.27,950.914,381.909,25.298,952.714,376,388,21,30,928,974,2303,46,80,5.9957,4.2863,80.7191,5.0747,3.7269,78.0357,663.6166,0.8434,0,99.3988,0.1741,79.4052,34.2881,18.7406,0,9.8931725,22.513294,-52107.097,m,,,,
122635.061,80,30.054,391.814,936.251,30.007,391.775,936.533,27,34,389,396,923,951,650,28,37,4.0966,2.7846,44.9354,3.584,2.5436,46.2319,149.5956,0.7778,7.8442,36.7914,0.1571,37.3596,23.5884,15.5735,20.0802,15.758217,28.62125,-64018.681,n,,,,
122635.261,452,142.953,72.77,1075.823,143.127,72.788,1076.633,139,148,70,77,1061,1090,740,29,41,4.6066,2.6634,-65.7933,4.053,2.4213,-63.5821,199.9482,0.7739,2.7609,290.9926,0.1932,38.0531,21.64,16.8253,27.0744,13.872884,23.304798,39112.528,n,,,,
122635.267,464,122.747,401.678,1060.554,122.591,401.862,1060.173,116,129,396,409,1047,1076,1411,29,114,6.7613,5.3583,58.1007,5.793,4.523,50.5698,372.0213,0.8889,21.0733,267.1404,0.1792,55.2591,19.6212,15.5727,16.4658,14.215157,28.789365,26995.624,n,,,,
122635.295,517,409.892,275.871,1061.059,409.866,275.525,1060.567,405,415,268,283,1046,1078,1784,32,99,7.8924,3.8103,24.2907,6.8867,3.5027,25.7475,569.8784,1.1321,27.6406,204.7268,0.1962,68.7748,22.984,16.8983,21.7177,9.4272242,26.683746,27286.005,n,,,,
122635.298,520,370.687,382.251,1074.973,370.862,382.279,1074.59,367,376,379,386,1063,1090,742,27,45,4.431,3.2573,-65.5203,4.0112,2.9444,-65.4329,184.7839,0.6697,10.5314,265.5815,0.1747,38.8321,20.5699,15.9353,17.0067,10.077302,28.462987,37608.76,n,,,,
122635.301,523,13.913,317.139,1090.815,13.85,317.034,1089.893,11,18,313,322,1075,1107,958,32,53,4.7679,3.2069,-8.3565,4.0223,2.9403,1.0846,227.3544,0.7514,14.5872,159.7655,0.1659,44.2845,21.0535,15.4451,16.3325,16.027501,27.375563,48873.601,n,,,,
122635.302,524,452.967,306.474,1762.824,452.925,306.42,1765.073,451,457,302,311,1664,1841,2275,177,35,4.1737,2.2737,-20.3653,3.7315,1.9556,-21.4814,443.7633,0.8998,2.6812,140.66,0.2218,41.9527,153.1948,48.0374,160.8377,8.7095704,27.198668,545889.1,n,,,,
123435.005,6,233.555,4.888,502.54,233.464,4.721,502.287,227,241,0,12,480,526,3821,46,127,6.8543,5.8,88.7505,6.2945,5.2766,-83.421,807.5599,0.8126,22.9524,104.9026,0.1723,75.8403,33.6862,23.7747,32.0738,12.366927,30.170409,-383677.11,n,edge,,,
123435.007,8,200.421,63.14,565.676,200.58,63.246,565.184,195,207,57,71,545,589,3420,44,116,7.7134,5.007,-32.3366,7.3849,4.3132,-32.3317,657.2443,0.8045,13.0737,359.6919,0.1607,69.9468,36.7151,25.1059,36.7174,12.914992,31.145831,-337376.64,m,,,,
123435.012,13,214.794,313.344,876.436,214.746,313.351,876.181,212,218,307,319,867,886,433,19,39,5.9596,1.9364,-18.0987,5.1642,1.8965,-19.474,140.3348,1.0211,8.1929,155.5026,0.2291,29.4369,16.5305,15.1967,16.2498,12.678898,35.314249,-108444.8,n,,,,
123435.016,17,185.999,124.129,943.726,186.298,123.942,945.115,182,192,121,129,923,965,1274,42,51,4.9935,3.2553,62.3284,4.0527,2.855,60.5822,440.6861,1.5306,27.0465,256.7735,0.162,76.2268,30.4947,22.6522,22.1551,13.153041,32.157429,-57701.107,m,,,,
200235.004,6,450.422,159.837,796.425,450.512,159.887,796.309,447,454,156,163,774,822,723,48,33,4.0335,2.5945,-39.1365,2.3742,1.9181,-53.0861,595.1695,3.5866,13.9185,317.4307,0.2834,78.1066,39.7384,29.9693,39.4324,16.749465,0.75645634,-167240.27,n,,,,
200235.006,8,256.208,296.352,887.767,256.225,296.232,888.139,252,260,291,301,872,906,900,34,45,5.0638,2.7547,33.2496,4.2687,2.6017,34.0589,215.466,0.8574,5.3144,217.1321,0.2104,34.1294,29.7664,20.5921,29.8526,19.987602,3.0288656,-99642.085,n,,,,
200235.04,49,445.929,410.897,944.821,445.958,410.838,945.738,443,450,406,416,927,961,1218,34,60,5.3836,3.5887,12.8388,4.807,3.0961,16.8958,408.7852,0.8544,7.9442,229.3359,0.2151,54.4568,26.7401,17.0367,27.587,16.825379,4.9389749,-57242.339,n,,,,
200235.148,227,160.777,437.406,1097.936,160.981,437.414,1097.797,157,165,435,441,1081,1115,645,34,37,4.1649,2.7365,-85.621,3.5029,2.2627,-88.3823,269.0929,1.1503,0,95.3787,0.2079,50.958,26.2969,14.5988,0,21.575001,5.3819044,54691.655,m,,,,
201035.004,11,330.034,39.389,927.643,330.013,39.382,927.855,325,337,35,45,910,947,1718,37,83,5.4979,4.5168,-66.1401,5.1991,4.0812,-70.967,407.3558,0.8771,0,293.3446,0.202,48.6501,28.9544,21.2942,0,18.757786,6.7480465,-70406.729,n,,,,
201035.006,13,417.149,150.781,920.585,417.063,150.75,920.972,413,422,147,156,904,938,1097,34,59,4.3781,4.2328,3.2032,4.0264,3.5902,-28.9368,251.909,0.8115,17.4665,231.2741,0.1943,39.1348,27.3477,18.5624,18.3216,17.306963,8.6041785,-75473.477,n,,,,
201035.019,28,484.091,3.785,945.109,484.101,3.448,944.956,480,489,0,10,920,967,1954,47,66,4.9755,4.2113,-18.3084,4.4641,3.8012,-14.5452,526.9234,1.1367,0,354.5582,0.1964,60.6937,33.9029,25.5908,0,16.18966,6.149138,-57818.379,n,edge,,,
201035.02,29,445.918,217.582,936.102,445.903,217.403,936.134,442,450,212,224,920,952,1403,32,70,5.9059,3.535,-10.984,5.404,3.2728,-10.0847,355.0339,0.9501,16.2802,346.4098,0.196,48.366,26.9053,19.2232,24.4175,16.826283,9.715077,-64311.747,n,,,,
201035.023,32,256.465,358.095,937.165,256.545,358.141,937.207,252,262,354,363,921,956,1489,35,72,5.635,3.7447,-47.3779,4.9049,3.4493,-49.2299,364.2362,0.8026,0,289.2183,0.2042,46.2275,28.5839,15.4032,0,19.982256,12.060708,-63522.462,n,,,,
201035.024,33,453.155,19.102,938.936,453.154,19.294,939.226,449,458,14,25,923,956,1248,33,61,5.9816,2.9378,30.7326,5.2806,2.7257,29.3922,335.3996,0.86,15.8075,198.3068,0.2074,45.7726,27.7639,18.2732,20.9903,16.705447,6.4132504,-62036.18,n,,,,
201035.034,49,2.737,151.432,951.046,2.582,151.694,951.471,0,7,148,157,937,965,720,28,43,4.9697,2.677,27.6845,4.3402,2.4675,28.5096,211.3079,0.9177,11.5499,31.8247,0.2022,38.9448,20.5977,15.0649,16.933,24.214992,8.6199231,-53022.293,n,edge,,,
201035.048,70,100.061,504.005,977.432,100.252,504.21,976.788,93,107,498,510,960,998,2178,38,98,7.945,3.8191,-61.5864,7.2812,3.4453,-62.2353,552.3341,0.8894,16.9153,292.0855,0.2017,58.6715,27.6224,18.8051,27.1118,22.587157,14.495204,-34385.769,n,edge,,,
201035.137,229,112.76,51.055,1219.945,112.67,51.156,1220.555,111,116,47,60,1173,1266,1552,93,35,6.5193,1.9904,-2.9747,4.7558,1.8447,0.1716,319.5623,0.8779,2.2187,173.3329,0.1943,41.7462,86.3968,65.5546,87.2875,22.380192,6.944273,145056.61,n,,,,
201835.012,12,8.067,32.154,898.816,7.911,32.272,898.812,1,16,29,37,880,919,1276,39,68,7.1696,3.0046,68.167,5.6993,2.8302,69.6511,284.9538,0.9105,8.8578,259.5519,0.1892,42.1526,28.7152,16.2024,28.5118,24.126496,14.62952,-91785.368,n,,,,
201835.014,14,366.615,75.614,616.632,366.61,75.677,616.323,362,372,70,85,590,643,2649,53,95,6.862,4.2815,-13.959,5.8607,3.7259,-16.7527,640.9766,0.9688,22.1292,131.996,0.1883,66.1398,37.2948,21.7555,30.6495,18.14816,15.352939,-299732.4,m,,,,
201835.016,17,198.408,442.115,904.319,198.556,442.23,904.994,195,203,439,446,889,922,797,33,40,4.092,2.7404,-56.7953,3.6538,2.4208,-55.6215,179.4199,0.8273,11.3753,273.602,0.1676,37.926,21.8284,14.9681,18.2447,20.949073,21.462168,-87234.872,n,,,,
201835.256,431,96.09,430.328,1052.684,96.325,430.424,1051.047,93,100,424,438,1031,1080,1908,49,59,5.0876,2.8386,7.2212,5.2496,2.8323,1.7032,375.7344,1.4292,10.493,355.8828,0.282,30.501,45.6803,38.1053,40.0826,22.65292,21.265409,20278.319,n,,,,
